Street,City,State,State_name,Zip_code,LON,LAT
MAPLE AVE W,VIENNA,VA,Virginia,22180,-77.2754,38.894
TYCO RD,VIENNA,VA,Virginia,22182,-77.2372,38.931
S MAPLE AVE,PURCELLVILLE,VA,Virginia,20132,-77.7052,39.1359
RETAIL COMMONS PKWY,MARTINSBURG,WV,West Virginia,25403,-77.9915,39.4375
FLOWING SPRINGS RD,CHARLES TOWN,WV,West Virginia,25414,-77.8443,39.298
WILLOW SPRING DR,CHARLES TOWN,WV,West Virginia,25414,-77.8437,39.294
E MARKET ST,LEESBURG,VA,Virginia,20176,-77.5559,39.1112
FORT EVANS RD NE,LEESBURG,VA,Virginia,20176,-77.5339,39.1087
ELDEN ST,HERNDON,VA,Virginia,20170,-77.3961,38.9663
ENTERPRISE ST,STERLING,VA,Virginia,20164,-77.4051,38.998
ELDEN ST,HERNDON,VA,Virginia,20170,-77.3741,38.9675
SUGARLAND RUN DR,STERLING,VA,Virginia,20164,-77.3807,39.0382
WIEHLE AVE,RESTON,VA,Virginia,20190,-77.3352,38.9506
DARNESTOWN RD,GAITHERSBURG,MD,Maryland,20878,-77.2516,39.1176
CRYSTAL ROCK DR,GERMANTOWN,MD,Maryland,20874,-77.2625,39.1806
FREDERICK RD,GERMANTOWN,MD,Maryland,20876,-77.2383,39.1788
W PATRICK ST,FREDERICK,MD,Maryland,21703,-77.4514,39.4183
URBANA PIKE,FREDERICK,MD,Maryland,21704,-77.4003,39.3815
SUGARLOAF PKWY,FREDERICK,MD,Maryland,21704,-77.3518,39.3293
S JEFFERSON ST,FREDERICK,MD,Maryland,21701,-77.4291,39.4077
ROSEMONT AVE,FREDERICK,MD,Maryland,21702,-77.4341,39.4309
FAIRMONT AVE,FAIRMONT,WV,West Virginia,26554,-80.1595,39.4647
COMMERCE DR,WESTOVER,WV,West Virginia,26501,-79.9848,39.6306
RR 7,MORGANTOWN,WV,West Virginia,26505,-79.9552,39.6294
E BROCKWAY AVE,MORGANTOWN,WV,West Virginia,26501,-79.946,39.6243
EARL L CORE RD,MORGANTOWN,WV,West Virginia,26505,-79.924,39.6229
PATTESON DR,MORGANTOWN,WV,West Virginia,26505,-79.9682,39.6513
E HIGH ST,WAYNESBURG,PA,Pennsylvania,15370,-80.1681,39.8962
RR 21,MASONTOWN,PA,Pennsylvania,15461,-79.9273,39.8534
& REDWOOD ST,MASONTOWN,PA,Pennsylvania,15461,-79.9121,39.8529
UNIVERSITY DR,WEST LIBERTY,WV,West Virginia,26074,-80.5983,40.1641
W CHESTNUT ST,WASHINGTON,PA,Pennsylvania,15301,-80.2497,40.1718
MURTLAND AVE,WASHINGTON,PA,Pennsylvania,15301,-80.2352,40.1806
COMMERCE ST,WELLSBURG,WV,West Virginia,26070,-80.6085,40.2768
SUNSET BLVD,STEUBENVILLE,OH,Ohio,43952,-80.6355,40.3696
PARK DR,WEIRTON,WV,West Virginia,26062,-80.5517,40.4112
MAIN ST,WEIRTON,WV,West Virginia,26062,-80.5886,40.4052
NATIONAL PIKE,GRINDSTONE,PA,Pennsylvania,15442,-79.8686,40.0089
& 166,BROWNSVILLE,PA,Pennsylvania,15417,-79.8686,40.0097
WILSON RD,BENTLEYVILLE,PA,Pennsylvania,15314,-80.0034,40.1293
